turn,gold
1,4
2,9
3,13
4,14
5,15
6,14
7,17
8,20
9,23
10,22
11,21
12,20
13,21
14,24
15,21
16,18
17,15
18,12
19,12
20,9
21,9
22,9
23,10
24,10
25,11
26,12
27,12
28,11
29,11
30,11
31,11
32,11
33,11
34,11
35,11
36,11
37,12
38,12
39,11
40,10
41,10
42,11
43,10
44,11
45,12
46,12
47,13
48,14
49,13
50,14
51,14
52,15
53,16
54,17
55,18
56,19
57,20
58,21
59,22
60,22
61,23
62,24
63,25
64,25
65,26
66,26
67,27
68,28
69,29
70,30
71,30
72,31
73,32
74,33
75,32
76,33
77,33
78,34
79,34
80,35
81,35
82,35
83,35
84,35
85,35
86,35
87,35
88,36
89,36
90,37
91,37
92,38
93,37
94,36
95,35
96,34
97,33
98,32
99,31
100,30
101,29
102,29
103,30
104,30
105,31
106,32
107,32
108,32
109,32
110,31
111,30
112,30
113,30
114,31
115,31
116,31
117,31
118,31
119,31
120,31
121,31
122,31
123,31
124,31
125,31
126,31
127,31
128,32
129,31
130,31
131,32
132,32
133,33
134,34
135,36
136,36
137,37
138,38
139,39
140,40
141,39
142,40
143,41
144,42
145,41
146,42
147,43
148,44
149,45
150,45
151,46
152,47
153,46
154,47
155,48
156,49
157,48
158,49
159,50
160,51
161,52
162,53
163,54
164,53
165,54
166,55
167,56
168,57
169,58
170,57
171,58
172,59
173,60
174,61
175,62
176,63
177,62
178,63
179,64
180,65
181,66
182,67
183,68
184,67
185,68
186,69
187,70
188,71
189,72
190,73
191,72
192,73
193,74
194,75
195,76
196,77
197,78
198,79
199,80
200,79
201,80
202,81
203,82
204,83
205,84
206,85
207,84
208,83
209,82
210,81
211,80
212,79
213,78
214,77
215,78
216,79
217,78
218,79
219,80
220,79
221,80
222,81
223,80
224,81
225,82
226,83
227,82
228,83
229,84
230,85
231,84
232,85
233,86
234,87
235,86
236,87
237,88
238,89
239,90
240,89
241,90
242,91
243,92
244,93
245,92
246,93
247,94
248,95
249,96
250,97
251,96
252,97
253,98
254,99
255,100
256,101
257,100
258,101
259,102
260,103
261,104
262,105
263,104
264,105
265,106
266,107
267,108
268,109
269,108
270,109
271,110
272,111
273,112
274,113
275,112
276,113
277,114
278,115
279,116
280,117
281,118
282,119
283,120
284,119
285,120
286,121
287,122
288,123
289,124
290,125
291,126
292,127
293,128
294,127
295,128
296,129
297,130
298,131
299,132
300,133
301,132
302,133
303,134
304,135
305,136
306,137
307,137
308,137
309,137
310,137
311,137
312,137
313,137
314,136
315,137
316,138
317,139
318,140
319,141
320,142
321,142
322,142
323,142
324,142
325,142
326,142
327,142
328,142
329,141
330,142
331,143
332,144
333,145
334,146
335,147
336,148
337,149
338,150
339,150
340,150
341,150
342,150
343,150
344,150
345,150
346,150
347,150
348,150
349,151
350,152
351,152
352,152
353,152
354,152
355,152
356,152
357,152
358,152
359,152
360,152
361,152
362,152
363,151
364,152
365,153
366,154
367,155
368,155
369,156
370,157
371,158
372,159
373,160
374,161
375,161
376,162
377,163
378,163
379,163
380,164
381,165
382,165
383,166
384,166
385,167
386,168
387,169
388,170
389,171
390,172
391,173
392,173
393,174
394,175
395,176
396,175
397,176
398,177
399,178
400,179
401,180
402,179
403,180
404,179
405,178
406,177
407,176
408,175
409,174
410,173
411,172
412,171
413,170
414,169
415,170
416,169
417,170
418,169
419,170
420,169
421,170
422,171
423,170
424,171
425,172
426,173
427,174
428,173
429,174
430,175
431,176
432,175
433,176
434,177
435,178
436,177
437,178
438,179
439,180
440,181
441,182
442,181
443,182
444,183
445,184
446,185
447,184
448,185
449,186
450,187
451,188
452,189
453,190
454,189
455,190
456,191
457,192
458,193
459,194
460,193
461,194
462,195
463,196
464,197
465,198
466,199
467,198
468,199
469,200
470,201
471,202
472,203
473,204
474,205
475,206
476,205
477,206
478,207
479,208
480,209
481,210
482,209
483,210
484,211
485,212
486,213
487,214
488,215
489,216
490,217
491,218
492,219
493,219
494,219
495,218
496,219
497,220
498,221
499,222
500,222
501,223
502,224
503,225
504,226
505,227
506,228
507,229
508,228
509,229
510,230
511,231
512,232
513,233
514,234
515,235
516,236
517,237
518,237
519,237
520,237
521,237
522,237
523,237
524,237
525,237
526,237
527,237
528,237
529,237
530,237
531,237
532,237
533,237
534,237
535,237
536,237
537,237
538,237
539,238
540,239
541,239
542,240
543,241
544,242
545,243
546,244
547,245
548,246
549,247
550,247
551,248
552,249
553,249
554,250
555,251
556,252
557,253
558,254
559,255
560,255
561,255
562,255
563,255
564,255
565,255
566,254
567,255
568,256
569,257
570,258
571,259
572,259
573,259
574,259
575,259
576,259
577,258
578,259
579,260
580,259
581,260
582,261
583,260
584,261
585,260
586,259
587,258
588,259
589,258
590,259
591,258
592,259
593,258
594,259
595,260
596,259
597,260
598,261
599,262
600,263
601,266
602,265
603,266
604,267
605,266
606,267
607,268
608,269
609,270
610,271
611,270
612,271
613,272
614,273
615,274
616,275
617,276
618,275
619,276
620,277
621,278
622,279
623,280
624,281
625,282
626,283
627,282
628,283
629,284
630,285
631,286
632,285
633,286
634,287
635,288
636,289
637,290
638,291
639,292
640,293
641,294
642,293
643,294
644,295
645,296
646,295
647,296
648,297
649,298
650,299
651,298
652,299
653,300
654,301
655,300
656,301
657,302
658,303
659,302
660,303
661,304
662,303
663,304
664,303
665,304
666,305
667,304
668,305
669,304
670,305
671,306
672,305
673,306
674,305
675,306
676,305
677,306
678,305
679,306
680,307
681,306
682,307
683,308
684,307
685,308
686,309
687,310
688,309
689,310
690,311
691,310
692,311
693,312
694,311
695,312
696,313
697,314
698,313
699,314
700,315
701,314
702,315
703,316
704,317
705,316
706,317
707,318
708,317
709,318
710,319
711,320
712,319
713,320
714,321
715,322
716,323
717,322
718,323
719,324
720,325
721,324
722,325
723,326
724,327
725,326
726,327
727,328
728,329
729,330
730,331
731,332
732,331
733,332
734,333
735,334
736,335
737,334
738,335
739,336
740,337
741,338
742,339
743,340
744,339
745,340
746,341
747,342
748,343
749,344
750,345
751,344
752,345
753,346
754,347
755,348
756,347
757,348
758,349
759,350
760,351
761,352
762,351
763,352
764,353
765,354
766,355
767,356
768,357
769,358
770,357
771,358
772,359
773,360
774,361
775,362
776,361
777,362
778,363
779,364
780,365
781,366
782,367
783,368
784,367
785,368
786,369
787,370
788,371
789,372
790,373
791,372
792,373
793,374
794,375
795,376
796,377
797,376
798,377
799,378
800,379
801,380
802,381
803,380
804,381
805,382
806,383
807,384
808,385
809,384
810,385
811,386
812,387
813,388
814,389
815,388
816,389
817,390
818,391
819,392
820,391
821,392
822,393
823,394
824,393
825,394
826,395
827,396
828,395
829,396
830,397
831,398
832,399
833,400
834,401
835,400
836,401
837,402
838,403
839,404
840,403
841,404
842,405
843,406
844,407
845,408
846,407
847,408
848,409
849,410
850,411
851,412
852,413
853,414
854,413
855,414
856,415
857,416
858,417
859,418
860,419
861,420
862,421
863,420
864,421
865,422
866,423
867,424
868,425
869,426
870,425
871,426
872,427
