turn,gold
1,5
2,8
3,13
4,13
5,17
6,18
7,17
8,18
9,20
10,19
11,18
12,18
13,21
14,20
15,21
16,21
17,22
18,21
19,22
20,23
21,23
22,22
23,21
24,20
25,21
26,18
27,18
28,19
29,16
30,17
31,17
32,19
33,19
34,16
35,17
36,17
37,17
38,17
39,17
40,17
41,16
42,17
43,17
44,14
45,11
46,8
47,8
48,8
49,8
50,5
51,5
52,5
53,2
54,0
55,0
56,0
57,0
58,1
59,3
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,5
107,7
108,7
109,7
110,7
111,12
112,14
113,14
114,17
115,22
116,23
117,24
118,21
119,18
120,18
121,15
122,15
123,12
124,13
125,14
126,14
127,11
128,8
129,5
130,5
131,2
132,2
133,2
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,1
145,2
146,2
147,2
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,1
176,0
177,1
178,2
179,3
180,8
181,10
182,10
183,10
184,11
185,12
186,12
187,12
188,12
189,17
190,14
191,13
192,18
193,15
194,14
195,14
196,17
197,14
198,11
199,10
200,14
201,17
202,14
203,13
204,16
205,17
206,17
207,16
208,19
209,24
210,23
211,26
212,25
213,29
214,30
215,31
216,28
217,27
218,32
219,31
220,34
221,33
222,35
223,39
224,38
225,37
226,42
227,45
228,44
229,47
230,48
231,47
232,50
233,51
234,48
235,47
236,48
237,47
238,47
239,48
240,51
241,53
242,52
243,53
244,55
245,54
246,57
247,58
248,63
249,65
250,62
251,61
252,63
253,68
254,65
255,65
256,62
257,59
258,59
259,56
260,53
261,50
262,49
263,53
264,56
265,61
266,58
267,55
268,52
269,52
270,53
271,53
272,57
273,56
274,56
275,56
276,53
277,52
278,55
279,60
280,57
281,54
282,54
283,51
284,48
285,48
286,45
287,42
288,42
289,39
290,36
291,33
292,30
293,27
294,27
295,26
296,23
297,23
298,22
299,19
300,16
301,15
302,17
303,20
304,17
305,14
306,14
307,14
308,13
309,14
310,18
311,15
312,14
313,16
314,17
315,14
316,14
317,13
318,14
319,11
320,12
321,9
322,8
323,11
324,8
325,7
326,7
327,8
328,5
329,2
330,2
331,0
332,0
333,0
334,0
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,0
344,0
345,0
346,0
347,0
348,0
349,0
350,0
351,0
352,0
353,0
354,0
355,0
356,0
357,0
358,0
359,0
360,0
361,0
362,0
363,0
364,0
365,0
366,0
367,0
368,0
369,0
370,0
371,0
372,0
373,0
374,0
375,1
376,0
377,2
378,3
379,0
380,0
381,3
382,6
383,6
384,11
385,11
386,11
387,11
388,12
389,13
390,13
391,13
392,13
393,14
394,14
395,18
396,18
397,18
398,18
399,21
400,23
401,27
402,31
403,31
404,32
405,32
406,32
407,29
408,29
409,26
410,26
411,27
412,27
413,27
414,24
415,23
416,24
417,25
418,26
419,27
420,28
421,27
422,29
423,29
424,30
425,29
426,34
427,34
428,34
429,36
430,33
431,33
432,33
433,32
434,34
435,35
436,32
437,32
438,32
439,36
440,33
441,33
442,33
443,35
444,37
445,37
446,37
447,40
448,41
449,42
450,42
451,42
452,43
453,46
454,45
455,47
456,49
457,50
458,49
459,52
460,53
461,54
462,55
463,56
464,56
465,53
466,54
467,53
468,54
469,57
470,58
471,57
472,54
473,54
474,59
475,58
476,61
477,58
478,57
479,58
480,59
481,56
482,55
483,60
484,63
485,64
486,65
487,64
488,64
489,67
490,68
491,69
492,68
493,68
494,71
495,74
496,77
497,77
498,76
499,78
500,79
501,84
502,84
503,88
504,88
505,88
506,92
507,89
508,88
509,91
510,88
511,87
512,87
513,84
514,81
515,80
516,85
517,85
518,88
519,88
520,88
521,90
522,89
523,89
524,86
525,86
526,83
527,83
528,83
529,80
530,80
531,80
532,83
533,88
534,87
535,87
536,88
537,85
538,85
539,89
540,91
541,91
542,88
543,88
544,89
545,90
546,90
547,94
548,93
549,93
550,98
551,102
552,99
553,99
554,99
555,103
556,104
557,104
558,104
559,104
560,101
561,101
562,101
563,101
564,101
565,101
566,103
567,105
568,102
569,102
570,101
571,106
572,108
573,105
574,105
575,102
576,102
577,102
578,107
579,107
580,107
581,107
582,111
583,111
584,111
585,112
586,112
587,111
588,114
589,115
590,116
591,116
592,116
593,121
594,118
595,118
596,115
597,115
598,112
599,112
600,117
601,117
602,121
603,125
604,122
605,122
606,119
607,119
608,122
609,123
610,123
611,123
612,127
613,128
614,128
615,132
616,132
617,133
618,135
619,137
620,134
621,134
622,131
623,131
624,132
625,132
626,129
627,129
628,133
629,133
630,136
631,136
632,139
633,139
634,142
635,144
636,144
637,148
638,148
639,151
640,152
641,153
642,153
643,153
644,153
645,150
646,147
647,147
648,147
649,144
650,144
651,144
652,141
653,142
654,142
655,141
656,146
657,147
658,144
659,145
660,146
661,143
662,142
663,143
664,144
665,141
666,142
667,143
668,142
669,145
670,142
671,143
672,142
673,147
674,146
675,149
676,148
677,148
678,145
679,142
680,141
681,141
682,138
683,137
684,140
685,141
686,142
687,141
688,142
689,145
690,144
691,146
692,147
693,147
694,146
695,147
696,151
697,150
698,155
699,154
700,154
701,153
702,154
703,153
704,157
705,154
706,153
707,150
708,150
709,152
710,152
711,153
712,153
713,153
714,156
715,156
716,155
717,155
718,157
719,157
720,157
721,154
722,154
723,154
724,151
725,148
726,145
727,144
728,146
729,147
730,148
731,149
732,150
733,150
734,147
735,146
736,150
737,150
738,151
739,148
740,150
741,147
742,147
743,144
744,144
745,144
746,144
747,147
748,147
749,150
750,150
751,150
752,153
753,153
754,157
755,157
756,158
757,158
758,155
759,155
760,157
761,160
762,160
763,160
764,157
765,157
766,161
767,160
768,160
769,161
770,158
771,155
772,152
773,152
774,149
775,149
776,150
777,151
778,152
779,152
780,153
781,154
782,154
783,155
784,152
785,152
786,153
787,154
788,154
789,155
790,155
791,155
792,155
793,155
794,155
795,155
796,160
797,160
798,164
799,164
800,166
801,163
802,163
803,163
804,166
805,166
806,166
807,170
808,175
809,172
810,172
811,169
812,166
813,166
814,167
815,164
816,164
817,161
818,162
819,162
820,163
821,163
822,160
823,160
824,160
825,163
826,160
827,160
828,160
829,157
830,157
831,154
832,154
833,155
834,156
835,157
836,158
837,158
838,159
839,160
840,160
841,161
842,162
843,163
844,160
845,157
846,157
847,158
848,158
849,159
850,156
851,156
852,157
853,157
854,157
855,154
856,154
857,151
858,151
859,148
860,148
861,145
862,142
863,142
864,141
865,141
866,145
867,145
868,142
869,139
870,139
871,141
872,141
873,138
874,138
875,138
876,138
877,135
878,135
879,132
880,132
881,129
882,129
883,126
884,126
885,123
886,123
887,120
888,120
889,117
890,114
891,111
892,108
893,105
894,102
895,99
896,99
897,96
898,93
899,92
900,95
901,99
902,96
903,93
904,90
905,87
906,84
907,81
908,78
909,75
910,72
911,69
912,66
913,63
914,62
915,67
916,64
917,64
918,64
919,64
920,61
921,60
922,60
923,57
924,56
925,59
926,64
927,64
928,64
929,67
930,64
931,64
932,64
933,65
934,69
935,69
936,71
937,75
938,75
939,76
940,77
941,77
942,77
943,82
944,82
945,86
946,86
947,91
948,91
949,92
950,92
951,94
952,97
953,100
954,100
955,103
956,103
957,100
958,100
959,100
960,105
961,102
962,102
963,99
964,99
965,99
966,96
967,93
968,93
969,90
970,90
971,90
972,87
973,87
974,84
975,84
976,81
977,81
978,78
979,78
980,78
981,79
982,79
983,76
984,73
985,73
986,70
987,70
988,69
989,70
990,72
991,72
992,74
993,74
994,74
995,73
996,73
997,72
998,76
999,81
1000,82
1001,82
1002,82
1003,82
1004,84
1005,84
1006,89
1007,93
1008,93
1009,93
1010,90
1011,90
1012,90
1013,87
1014,87
1015,87
1016,87
1017,84
1018,84
1019,81
1020,78
1021,75
1022,75
1023,72
1024,71
1025,72
1026,77
1027,74
1028,74
1029,71
1030,68
1031,65
1032,62
1033,59
1034,56
1035,53
1036,50
1037,47
1038,46
1039,43
1040,40
1041,39
1042,43
1043,40
1044,37
1045,34
1046,31
1047,28
1048,28
1049,33
1050,30
1051,27
1052,24
1053,21
1054,18
